label,Motif
PC 19670236,Procession
PC 19670237,Procession
PC 19670238,Procession
PC 19670239,Procession
PC 19670240,Guilloche
PC 19670240,Procession
PC 19670241,Procession
PC 19670241,Guilloche
PC 19670241,Female
PC 19670242,Procession
PC 19670242,Female
PC 19670242,Guilloche
PC 19670243,Procession
PC 19670243,Guilloche
PC 19670244,Procession
PC 19670244,Guilloche
PC 19670245,Procession
PC 19670246,Procession
PC 19670246,Guilloche
PC 19670247,Banquet
PC 19670247,Guilloche
PC 19670248,Guilloche
PC 19670248,Procession
PC 19670249,Female
PC 19670249,Procession
PC 19670249,Guilloche
PC 19670250,Procession
PC 19670250,Guilloche
PC 19670251,Guilloche
PC 19670251,Procession
PC 19670252,Procession
PC 19670252,Female
PC 19670252,Lotus
PC 19670253,Female
PC 19670253,Guilloche
PC 19670253,Procession
PC 19670254,Procession
PC 19670254,Lotus
PC 19670254,Female
PC 19670255,Procession
PC 19670256,Procession
PC 19670256,Female
PC 19670257,Guilloche
PC 19670257,Procession
PC 19670258,Procession
PC 19670258,Guilloche
PC 19670258,Female
PC 19670259,Guilloche
PC 19670259,Procession
PC 19670260,Guilloche
PC 19670260,Procession
PC 19670261,Female
PC 19670261,Procession
PC 19670262,Female
PC 19670262,Procession
PC 19670263,Procession
PC 19670263,Guilloche
PC 19670264,Procession
PC 19670265,Procession
PC 19670265,Guilloche
PC 19670266,Procession
PC 19670267,Procession
PC 19670268,Lotus
PC 19670268,Female
PC 19670268,Procession
PC 19670269,Procession
PC 19670269,Female
PC 19670270,Female
PC 19670270,Procession
PC 19670270,Seated Figure
PC 19670271,Procession
PC 19670271,Female
PC 19670272,Procession
PC 19670273,Procession
PC 19670273,Guilloche
PC 19670274,Procession
PC 19670274,Seated Figure
PC 19670275,Seated Figure
PC 19670275,Procession
PC 19670276,Guilloche
PC 19670276,Procession
PC 19670277,Seated Figure
PC 19670277,Procession
PC 19670278,Lotus
PC 19670278,Female
PC 19670278,Procession
PC 19670279,Horse Race
PC 19670279,Guilloche
PC 19670280,Female
PC 19670281,0
PC 19670282,0
PC 19670283,Circles
PC 19670284,Circles
PC 19670285,Circles
PC 19670286,Gorgon
PC 19670287,Bucrania
PC 19670288,Bucrania
PC 19670289,0
PC 19670290,Seated Figure
PC 19670290,Guilloche
PC 19670290,Lotus
PC 19670291,Seated Figure
PC 19670292,Seated Figure
PC 19670292,Guilloche
PC 19670293,Seated Figure
PC 19670293,Guilloche
PC 19670294,Seated Figure
PC 19670295,Seated Figure
PC 19670295,Guilloche
PC 19670296,Seated Figure
PC 19670296,Guilloche
PC 19670297,Guilloche
PC 19670297,Seated Figure
PC 19670298,Seated Figure
PC 19670299,Seated Figure
PC 19670300,Seated Figure
PC 19670300,Guilloche
PC 19670301,Guilloche
PC 19670301,Seated Figure
PC 19670302,Seated Figure
PC 19670302,Guilloche
PC 19670303,Seated Figure
PC 19670304,Guilloche
PC 19670304,Seated Figure
PC 19670305,Horse Race
PC 19670306,Horse Race
PC 19670307,Horse Race
PC 19670308,Seated Figure
PC 19670308,Guilloche
PC 19670309,Guilloche
PC 19670309,Seated Figure
PC 19670310,Guilloche
PC 19670310,Seated Figure
PC 19670311,Horse Race
PC 19670312,Horse Race
PC 19670313,Horse Race
PC 19670314,Horse Race
PC 19670315,Horse Race
PC 19670316,Horse Race
PC 19670317,Seated Figure
PC 19670318,Seated Figure
PC 19670319,Seated Figure
PC 19670320,Seated Figure
PC 19670321,Guilloche
PC 19670321,Seated Figure
PC 19670322,Guilloche
PC 19670322,Seated Figure
PC 19670323,Seated Figure
PC 19670323,Guilloche
PC 19670324,Seated Figure
PC 19670325,Seated Figure
PC 19670326,Seated Figure
PC 19670327,Seated Figure
PC 19670328,Banquet
PC 19670329,Seated Figure
PC 19670330,Seated Figure
PC 19670331,Seated Figure
PC 19670332,Horse Race
PC 19670333,Seated Figure
PC 19670334,Seated Figure
PC 19670335,0
PC 19670336,0
PC 19670337,0
PC 19670338,0
PC 19670339,0
PC 19670340,Guilloche
PC 19670340,Seated Figure
PC 19670341,Seated Figure
PC 19670341,Guilloche
PC 19670342,Guilloche
PC 19670342,Seated Figure
PC 19670343,Horse Race
PC 19670344,Horse Race
PC 19670345,Banquet
PC 19670345,Guilloche
PC 19670346,Banquet
PC 19670346,Guilloche
PC 19670347,Female
