motifs1,motifs2,weights
Flower,Umpire,0
Flower,Bean,0
Flower,Cross-Hatched,1
Flower,Triangular,0
Flower,Ray,0
Flower,Vegetal,1
Flower,Caryatid,0
Flower,Braid,0
Flower,Florette,2
Flower,Asterisk,0
Flower,Chevrons,0
Flower,Other,0
Sphinx,Rosette,0
Sphinx,Circles,0
Sphinx,Female,0
Sphinx,Palmette,2
Sphinx,Gorgon,0
Sphinx,Tongue,0
Sphinx,Ram,0
Sphinx,Banquet,0
Sphinx,Guilloche,0
Sphinx,Horse,0
Sphinx,Horse Race,0
Sphinx,Feline,4
Sphinx,Deer,1
Sphinx,Lotus,2
Sphinx,Procession,0
Sphinx,Seated Figure,0
Sphinx,Bird,2
Sphinx,Flower,0
Sphinx,Sphinx,43
Sphinx,Animal,6
Sphinx,Male,2
Sphinx,Panther,0
Sphinx,Lion,1
Sphinx,Dots,0
Sphinx,Meander,0
Sphinx,Geometric,0
Sphinx,Volute,1
Sphinx,Potnia Theron,0
Sphinx,Bearded Head,0
Sphinx,Bucrania,0
Sphinx,Rabbit,0
Sphinx,Warrior,0
Sphinx,Hair,0
Sphinx,Griffin,0
Sphinx,Quadruped,2
Sphinx,Bearded,0
Sphinx,Notches,1
Sphinx,Bull,0
Sphinx,Figure,0
Sphinx,Stag,4
Sphinx,Chevron,0
Sphinx,Duck,0
Sphinx,Wrestler,0
Sphinx,Umpire,0
Sphinx,Bean,3
Sphinx,Cross-Hatched,0
Sphinx,Triangular,0
Sphinx,Ray,0
Sphinx,Vegetal,0
Sphinx,Caryatid,0
Sphinx,Braid,0
Sphinx,Florette,0
Sphinx,Asterisk,0
Sphinx,Chevrons,0
Sphinx,Other,0
Animal,Rosette,1
Animal,Circles,1
Animal,Female,1
Animal,Palmette,0
Animal,Gorgon,0
Animal,Tongue,2
Animal,Ram,0
Animal,Banquet,0
Animal,Guilloche,2
Animal,Horse,1
Animal,Horse Race,0
Animal,Feline,15
Animal,Deer,2
Animal,Lotus,0
Animal,Procession,2
Animal,Seated Figure,2
Animal,Bird,1
Animal,Flower,0
Animal,Sphinx,6
Animal,Animal,88
Animal,Male,2
Animal,Panther,5
Animal,Lion,4
Animal,Dots,4
Animal,Meander,0
Animal,Geometric,1
Animal,Volute,1
Animal,Potnia Theron,0
Animal,Bearded Head,2
Animal,Bucrania,0
Animal,Rabbit,1
Animal,Warrior,0
Animal,Hair,0
Animal,Griffin,4
Animal,Quadruped,14
Animal,Bearded,0
Animal,Notches,0
Animal,Bull,0
Animal,Figure,1
Animal,Stag,4
Animal,Chevron,0
Animal,Duck,0
Animal,Wrestler,0
Animal,Umpire,0
Animal,Bean,1
Animal,Cross-Hatched,0
Animal,Triangular,1
Animal,Ray,0
Animal,Vegetal,0
Animal,Caryatid,0
Animal,Braid,0
Animal,Florette,0
Animal,Asterisk,0
Animal,Chevrons,0
Animal,Other,0
Male,Rosette,0
Male,Circles,0
Male,Female,1
Male,Palmette,0
Male,Gorgon,0
Male,Tongue,0
Male,Ram,0
Male,Banquet,0
Male,Guilloche,0
Male,Horse,0
Male,Horse Race,0
Male,Feline,0
Male,Deer,0
Male,Lotus,0
Male,Procession,0
Male,Seated Figure,1
Male,Bird,1
Male,Flower,0
Male,Sphinx,2
Male,Animal,2
Male,Male,15
Male,Panther,1
Male,Lion,1
Male,Dots,0
Male,Meander,0
Male,Geometric,0
Male,Volute,0
Male,Potnia Theron,0
Male,Bearded Head,0
Male,Bucrania,0
Male,Rabbit,0
Male,Warrior,0
Male,Hair,1
Male,Griffin,0
Male,Quadruped,1
Male,Bearded,0
Male,Notches,0
Male,Bull,0
Male,Figure,0
Male,Stag,0
Male,Chevron,0
Male,Duck,0
Male,Wrestler,0
Male,Umpire,0
Male,Bean,0
Male,Cross-Hatched,0
Male,Triangular,0
Male,Ray,0
Male,Vegetal,0
Male,Caryatid,0
Male,Braid,0
Male,Florette,0
Male,Asterisk,0
Male,Chevrons,0
Male,Other,0
Panther,Rosette,2
Panther,Circles,1
Panther,Female,0
Panther,Palmette,0
Panther,Gorgon,0
Panther,Tongue,0
Panther,Ram,0
Panther,Banquet,0
Panther,Guilloche,0
Panther,Horse,0
Panther,Horse Race,0
Panther,Feline,9
Panther,Deer,0
Panther,Lotus,0
Panther,Procession,0
Panther,Seated Figure,0
Panther,Bird,0
